Page URL,Page Title,ILR,Raw ILR,Unique Pageviews,Crawl Depth,HTTP Status Code,"Page (HTML) Load Time, sec",Schema.org (Microdata),Schema.org (JSON-LD),Open Graph,Twitter Cards,Microformats,Canonicalization,In sitemap,Incoming Internal Links,Outgoing Internal Links,Outgoing External Links,AMP link,Hreflang Links,Hreflang Issues,JS and CSS Number,"JS and CSS Size, KB",Issues,Description,Blocked AI search bots
https://ericgrill.com,,-,0.019000101167502233,n/a,1,307,0.011,0,0,0,0,0,-,1,1,1,0,0,-,-,0,0,0,-,
https://ericgrill.com/,,-,0.019000101167502233,n/a,0,307,0.008,0,0,0,0,0,-,0,1,1,0,0,-,-,0,0,0,-,
https://ericgrill.com/about,,-,0.019186508671790135,n/a,2,307,0.025,0,0,0,0,0,-,1,1,1,0,0,-,-,0,0,0,-,
https://ericgrill.com/blog,,-,0.024479493509535145,n/a,2,307,0.016,0,0,0,0,0,-,1,5,1,0,0,-,-,0,0,0,-,
https://ericgrill.com/blog/agent-orchestration-plugin,,-,0.017079654262221626,n/a,3,307,0.013,0,0,0,0,0,-,1,1,1,0,0,-,-,0,0,0,-,
https://ericgrill.com/blog/ai-drone-swarm-coordination,,-,0.017130324173398374,n/a,2,307,0.017,0,0,0,0,0,-,1,1,1,0,0,-,-,0,0,0,-,
https://ericgrill.com/blog/bitcoin-2025-outlook,,-,0.017278454921288586,n/a,3,307,0.011,0,0,0,0,0,-,1,1,1,0,0,-,-,0,0,0,-,
https://ericgrill.com/blog/bitcoin-opreturn-to-lightning-journey,,-,0.017251823662565075,n/a,2,307,0.012,0,0,0,0,0,-,1,1,1,0,0,-,-,0,0,0,-,
https://ericgrill.com/blog/claude-code-intro,,-,0.017204279233531874,n/a,3,307,0.024,0,0,0,0,0,-,1,1,1,0,0,-,-,0,0,0,-,
https://ericgrill.com/blog/developer-essentials-monorepo-guide,,-,0.017324348502911313,n/a,2,307,0.006,0,0,0,0,0,-,1,1,1,0,0,-,-,0,0,0,-,
https://ericgrill.com/blog/lightning-encrypted-message-queue,,-,0.017188408743691243,n/a,2,307,0.015,0,0,0,0,0,-,1,1,1,0,0,-,-,0,0,0,-,
https://ericgrill.com/blog/superpowers-brainstorming-guide,,-,0.017406893293484355,n/a,2,307,0.028,0,0,0,0,0,-,1,1,1,0,0,-,-,0,0,0,-,
https://ericgrill.com/contact,,-,0.0195277213013616,n/a,2,307,0.006,0,0,0,0,0,-,1,1,1,0,0,-,-,0,0,0,-,
https://ericgrill.com/llms.txt,,-,-,n/a,0,307,0.011,0,0,0,0,0,-,0,0,-,-,0,-,-,-,-,0,-,
https://ericgrill.com/now,,-,0.01792501656368012,n/a,2,307,0.014,0,0,0,0,0,-,1,1,1,0,0,-,-,0,0,0,-,
https://ericgrill.com/robots.txt,,-,-,n/a,0,307,0.051,0,0,0,0,0,-,0,0,-,-,0,-,-,-,-,0,-,n/a
https://ericgrill.com/sitemap.xml,,-,-,n/a,0,307,0.006,0,0,0,0,0,-,0,0,-,-,0,-,-,-,-,0,-,
https://www.ericgrill.com/,Eric Grill,100,0.07967991527244336,n/a,0,200,0.063,0,1,1,1,0,Canonical to other page,0,18,10,4,0,-,-,10,155,6,"builder. pilot. grappler. writing about ai, aviation, jiu jitsu, blockchain, and programming.",
https://www.ericgrill.com/about,About | Eric Grill,82,0.06063079334950373,n/a,1,200,0.013,0,1,1,1,0,Canonical to other page,0,17,5,5,0,-,-,10,153,2,"building systems that survive when everything else breaks. navy veteran, bitcoin infrastructure builder, ibjjf champion, serial founder.",
https://www.ericgrill.com/blog,Field Notes | Eric Grill,94,0.06536165546953882,n/a,1,200,0.021,0,0,1,1,0,Canonical to other page,0,17,5,4,0,-,-,12,165,4,"live experiments in code, security, automation, and performance. dispatches from someone building inside high-pressure systems.",
https://www.ericgrill.com/blog/agent-orchestration-plugin,Conducting the Orchestra: How agent-orchestration Turned Chaos Into Coordination | Eric Grill,29,0.03421067147483127,n/a,2,200,0.095,0,1,1,1,0,Canonical to other page,0,2,7,11,0,-,-,11,163,2,when one agent isn't enough: how agent-orchestration and multi-agent-patterns transformed my chaotic experiments into coordinated workflows - from supervisor hierarchies to emergent swarms.,
https://www.ericgrill.com/blog/ai-drone-swarm-coordination,Teaching AI Agents to Fly Drones in Formation: A Swarm Coordination Experiment | Eric Grill,47,0.03793540438486685,n/a,1,200,0.096,0,1,1,1,0,Canonical to other page,0,3,10,9,0,-,-,11,163,3,"i connected claude code agents to a drone swarm using px4 and python. tell it to form a heart shape in the sky, and it figures out the rest. here's how visual feedback made it work like blue angels pilots.",
https://www.ericgrill.com/blog/bitcoin-2025-outlook,Bitcoin in 2025: A Builder's Perspective | Eric Grill,41,0.03446792483260562,n/a,2,200,0.089,0,1,1,1,0,Canonical to other page,0,2,7,8,0,-,-,11,163,4,"after a decade in the bitcoin space, here's what i think about the state of the network and where we're headed.",
https://www.ericgrill.com/blog/bitcoin-opreturn-to-lightning-journey,From OP_RETURN to Lightning: My Journey Down the Bitcoin Rabbit Hole | Eric Grill,53,0.03805823396189518,n/a,1,200,0.145,0,1,1,1,0,Canonical to other page,0,3,8,9,0,-,-,11,163,3,"bitcoin core v30 expanded op_return limits. i got excited, ran experiments, hit the fee wall, explored sidechains, and ended up right where i should have started: lightning.",
https://www.ericgrill.com/blog/claude-code-intro,I Stopped Using My IDE's AI Assistant. Here's What I Switched To. | Eric Grill,35,0.03439366247790243,n/a,2,200,0.066,0,1,1,1,0,Canonical to other page,0,2,7,9,0,-,-,11,163,2,"how claude code cli changed the way i think about ai-assisted development, and why the terminal might be the future of coding with ai.",
https://www.ericgrill.com/blog/developer-essentials-monorepo-guide,My Monorepo Builds Took 47 Minutes. Then I Discovered Developer-Essentials. | Eric Grill,59,0.03813158186098023,n/a,1,200,0.056,0,1,1,1,0,Canonical to other page,0,3,7,9,0,-,-,11,163,2,"a confession about build times, wasted coffee breaks, and the claude code plugins that finally made me understand my own dependency graphâ€”and document it properly. (draft)",
https://www.ericgrill.com/blog/lightning-encrypted-message-queue,Building a Secure Message Queue on Bitcoin Lightning with Claude Code | Eric Grill,71,0.0401189659795133,n/a,1,200,0.078,0,1,1,1,0,Canonical to other page,0,5,10,9,0,-,-,11,163,3,"how i used claude code's brainstorming agent and custom skills to build an encrypted message queue on lightning network. messages anyone can see, but only the recipient can read.",
https://www.ericgrill.com/blog/superpowers-brainstorming-guide,"Stop Coding, Start Thinking: How Claude Code's Brainstorming Superpower Saved Me From Myself | Eric Grill",65,0.038215090892913625,n/a,1,200,0.065,0,1,1,1,0,Canonical to other page,0,3,7,8,0,-,-,11,163,2,confessions of a developer who launches features first and plans never. how the superpowers plugin's brainstorming skill finally got me to think before i code. (draft),
https://www.ericgrill.com/blog?topic=ai,Field Notes | Eric Grill,18,0.022688746918916206,n/a,2,200,0.074,0,0,1,1,0,Canonical to other page,0,6,5,4,0,-,-,12,165,4,"live experiments in code, security, automation, and performance. dispatches from someone building inside high-pressure systems.",
https://www.ericgrill.com/blog?topic=aviation,Field Notes | Eric Grill,6,0.017130324173398374,n/a,2,200,0.014,0,0,1,1,0,Canonical to other page,0,1,5,4,0,-,-,12,165,5,"live experiments in code, security, automation, and performance. dispatches from someone building inside high-pressure systems.",
https://www.ericgrill.com/blog?topic=blockchain,Field Notes | Eric Grill,12,0.019460622811415872,n/a,2,200,0.024,0,0,1,1,0,Canonical to other page,0,3,5,4,0,-,-,12,165,4,"live experiments in code, security, automation, and performance. dispatches from someone building inside high-pressure systems.",
https://www.ericgrill.com/blog?topic=programming,Field Notes | Eric Grill,24,0.024960960986640836,n/a,2,200,0.016,0,0,1,1,0,Canonical to other page,0,8,5,4,0,-,-,12,165,4,"live experiments in code, security, automation, and performance. dispatches from someone building inside high-pressure systems.",
https://www.ericgrill.com/contact,Contact | Eric Grill,88,0.06064018998987432,n/a,1,200,0.082,0,0,1,1,0,Canonical to other page,0,17,5,4,0,-,-,9,148,3,"get in touch with eric grill. connect via linkedin, x (twitter), or github for professional inquiries, collaboration, or just to say hello.",
https://www.ericgrill.com/llms.txt,,-,-,n/a,0,404,0.061,0,0,0,0,0,-,0,0,-,-,0,-,-,-,-,1,-,
https://www.ericgrill.com/now,Now | Eric Grill,76,0.06059943591757171,n/a,1,200,0.047,0,0,1,1,0,Canonical to other page,0,17,10,7,0,-,-,9,148,2,"what i'm currently building, training for, and working on. living proof of the work.",
https://www.ericgrill.com/robots.txt,,-,-,n/a,0,200,0.088,0,0,0,0,0,-,0,0,-,-,0,-,-,-,-,0,-,n/a
https://www.ericgrill.com/sitemap.xml,,-,-,n/a,0,200,0.095,0,0,0,0,0,-,0,0,-,-,0,-,-,-,-,33,-,
